,dust_av,age,mass,tauGyr
0,0.001,1.4485898500280694,8.28552874914876,0.6789346108474856
1,0.09047433212715744,0.9554113316538392,7.380162930130387,0.6619955395858437
2,0.001,0.6631206137296931,8.376066948882437,0.4583813991549907
3,0.09644976968399363,0.6768622927555193,7.957641616507652,0.34521750237077425
4,0.001,1.1983438235890722,9.262105628545713,0.5766274091346258
5,0.001,0.5097835162710695,7.999150020190233,0.15892194422036138
6,0.17522300180073025,0.7229545660793586,9.174334579926445,0.5680897272721251
7,0.2279848819844815,0.1108577186002035,8.71923659144057,0.015763574391579674
8,0.028514325520151262,0.8402626218201518,8.066476876032791,0.4693023865970683
9,0.5006093197947896,0.7911054059140121,8.686097045073065,0.044026007656870834
10,0.0678821904953505,1.6406772531336091,7.764990438084086,0.383871021808596
11,0.0952613812964688,0.597455897489533,7.896977196683843,0.20570557887091315
12,0.6413966951605281,1.442324286493547,7.927836926258857,0.8278201558850731
13,0.001,0.7764885944243766,8.759114160290705,0.3965958762634737
14,0.001,0.9186684140190708,7.250592510819634,0.31362380491779723
15,0.03670105011938218,1.282692212377863,8.005999975010827,0.2944602540128157
16,0.286675964059982,1.8087724511201384,8.649445625936416,2.529191281684052
17,0.005575155840968406,0.4207862890829501,7.818822425649638,0.16828683014524606
18,0.4704727447751902,0.6067405673259029,8.756111914314925,0.14213055168989608
19,1.0372869187288545,1.5681426016159778,9.662615031435514,2.031851841905965
20,0.2639935706935697,2.221507292821802,8.868842476293993,2.088146458215637
21,0.10179178977585583,0.96182866628726,8.164353996758804,0.43436464726109536
22,0.16660976003365313,0.5951159176504238,8.103794742878888,0.18599188518380666
23,0.001,0.6646612271726218,7.427646053601756,0.18211817404078287
24,0.7057045263698737,1.0024117607028542,9.438556555320693,0.5642266521507542
25,0.001,1.209305146272614,8.652433164316502,1.5186017791317934
26,0.004007597548151496,0.30767459316772083,8.049397799192429,0.13089177338442892
27,0.001,0.3067017289595536,7.752233542075112,0.2724897440629525
28,0.001,0.9661139861271576,8.70146525405554,0.21983030770621226
29,0.001,1.133864737585167,8.21691376207398,0.2367565479198976
30,0.001,0.13430164726440527,8.61696056122167,0.021933559515647717
31,0.001,0.44263603131021934,7.757423044640581,0.08834448841670395
32,0.001,0.282444630163578,7.359235065956622,0.05041621871126021
33,0.4718407799146613,1.469198220267343,9.404691633909062,2.9787149391395467
34,0.001,1.2292568128704215,7.592410298562025,0.8018749716328125
35,0.013403601583871598,0.1985654693969924,7.8552069646060225,0.06180135004670456
36,0.07824910071585578,0.4430526488537509,9.187577295440466,0.16529642172233022
37,0.1200895964688237,0.7645931346165789,7.774728700540526,0.19669162632272866
38,0.06493095238918876,1.638005417678244,8.7895591400902,0.4014597101078902
39,0.04830052197473975,0.8288298749085137,8.637621211887733,0.4044378580344715
40,0.09280268746733583,0.5752404831206159,7.462055619071147,0.1463514273451975
41,0.04026781300160009,0.6027705062855173,7.546827998714753,0.10776240242468134
42,0.5095487737329897,1.3430384941245868,8.00719840523015,0.9997570195174752
43,0.3514179829222686,0.07435444706566915,7.695620642279687,0.015964171476498073
44,0.2551086317758852,0.234222416267942,8.782509739757439,0.13948766094852028
45,0.001,1.738439382268974,9.65395669025009,0.3891806751076814
46,0.10005497947517834,0.9287498068790964,9.298847098517356,0.6875275317410392
47,0.05026187326098548,0.7203382612646013,7.940653201768493,0.17587527113719018
48,0.6909438339675642,0.19378066853795295,8.072039242056354,0.39037942910289786
49,0.13388835973360613,0.5570535251774157,8.039896999179321,0.10448198916548583
50,0.025086865468954885,0.6377386009898014,8.413824954404575,0.2536162140925927
51,0.001,3.558864821418152,9.14952508423052,0.32528445735546
52,0.01772286972101451,0.2482810562218593,7.8282867267018785,0.12439220501565786
53,0.001,1.0984155275202905,8.435390807636379,1.248225007698396
54,0.10045385198664636,1.7487180388567718,9.620091392074489,0.3163381915640779
